,Hostname,IP-Adresse,Seriennr
1472,de-fid-steinm-sh-01a,10.59.222.238,CN0BFPC0GP
1527,FNH0008K,10.51.142.146,CN11FPC19L
1528,de-fid-alten-sh-21b,10.51.167.150,CN85FPB027
1529,de-fid-bernb-sh-01b,10.51.174.166,CN85FPB0GV
1530,de-fid-burgg-sh-01b,10.51.197.230,CN85FPB01M
1531,de-fid-hohen-sh-23b,10.51.179.102,CN7BFPB1B3
1532,de-fid-hohen-sh-25b,10.51.184.134,CN7BFPB1K7
1533,de-fid-ingen-sh-01b,10.51.158.190,CN85FPB01N
1543,de-fid-peiti-sh-01c,10.51.194.86,CN7BFPB1MB
1544,de-fid-peiti-sh-03b,10.51.163.174,CN85FPB0C5
1545,de-fid-rette-sh-04b,10.51.174.174,CN85FPB0RQ
1546,de-fid-schon-sh-05b,10.51.200.102,CN81FPB276
1547,de-fid-schon-sh-06c,10.51.147.94,CN85FPB0RN
1548,de-fid-schon-sh-06d,10.51.147.93,CN85FPB063
1549,de-fid-schwa-sh-39b,10.51.169.238,CN81FPB1FZ
1550,de-fid-wesso-sh-01b,10.51.177.214,CN81FPB18Q
1575,de-fid-altdo-sh-01a,10.51.145.54,CN65FP60JD
1576,de-fid-altdo-sh-01b,10.51.145.53,CN87FPC006
1577,de-fid-altdo-sh-01c,10.51.145.52,CN94FPC0ZC
1578,de-fid-altdo-sh-02a,10.51.181.62,CN76FP72Q3
1579,de-fid-bruck-sh-02a,10.51.184.78,CN76FP72CP
1580,de-fid-ergol-sh-02a,10.51.159.78,CN78FPB13Y
1581,de-fid-ergol-sh-06b,10.51.142.14,CN35DRR111
1582,de-fid-ergol-sh-06c,10.51.142.13,CN36DRV0RL
1583,de-fid-ergol-sh-06d,10.51.142.12,CN37DRV0V3
1584,de-fid-ergol-sh-06e,10.51.142.11,CN81FPC0G6
1585,de-fid-furth-sh-02a,10.51.202.6,CN78FPB11D
1586,de-fid-guend-sh-02a,10.51.162.118,CN76FP72CL
1587,de-fid-lands-sh-02a,10.51.193.94,CN76FP72HG
1588,de-fid-pifla-sh-02a,10.51.156.30,CN77FPC0FN
1589,de-fid-pifla-sh-02b,10.51.156.29,CN78FPB0P9
1620,de-fid-altem-sh-01a,10.51.168.254,CN6BFPB09H
1642,de-fid-ampfi-sh-01a,10.51.156.14,CN59DRW091
1643,de-fid-ampfi-sh-01c,10.51.156.13,CN7BFPB1B8
1644,de-fid-ascha-sh-02b,10.51.195.222,CN7BFPB17V
1645,de-fid-baibl-sh-01a,10.51.208.182,CN90FP38PZ
1646,de-fid-burgh-sh-05a,10.51.195.182,CN58FPB18Y
1647,de-fid-burgh-sh-13c,10.51.153.62,CN60DRW06B
1648,de-fid-burgh-sh-13d,10.51.153.61,CN60DRW0B7
1649,de-fid-burgk-sh-04b,10.51.167.158,CN33DRW1FG
1650,de-fid-emmer-sh-05c,10.51.183.142,CN84DRW01Z
1651,de-fid-engel-sh-04b,10.51.176.118,CN7BDRW09D
1652,de-fid-garch-sh-04b,10.51.152.166,CN70DRW05J
1653,de-fid-garch-sh-04e,10.51.152.165,CN3ADRW12Q
1654,de-fid-haimi-sh-02a,10.51.170.150,CN30DRW110
1655,de-fid-halsb-sh-01b,10.51.183.6,CN7BFPB10S
1656,de-fid-helde-sh-01b,10.51.165.30,CN7BDRW056
1657,de-fid-hirte-sh-01b,10.51.194.222,CN7BFPB1BQ
1659,de-fid-kienb-sh-01a,10.51.181.46,CN72FPB0VP
1660,de-fid-kirch-sh-51a,10.51.150.206,CN56DRW18K
1661,de-fid-kirch-sh-51c,10.51.150.205,CN7BFPB1JS
1662,de-fid-kraib-sh-02a,10.51.173.238,CN7AFPB6JS
1663,de-fid-markt-sh-37c,10.51.170.46,CN84DRW046
1664,de-fid-mehri-sh-01b,10.51.164.70,CN7BDRW06Z
1665,de-fid-muehl-sh-57d,10.51.145.46,CN58FPB1ZZ
1666,de-fid-muehl-sh-57e,10.51.145.45,CN57DRW0PS
1667,de-fid-muehl-sh-57f,10.51.145.44,CN29DRW1L4
1668,de-fid-neuoe-sh-01b,10.51.180.166,CN26DRW0KV
1669,de-fid-oberb-sh-01a,10.51.166.206,CN59FPB0LB
